scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
0.570649743,0.420935184,0.00906134956,0.412088364,0.562827528,0.778139412,0.0773815587,0.753064096,0.649681151,1,0.00956982467,1,1,0.356706142,1,0.347150296,0.274819791,0.254742593,0.226591453,0.203837425,0.106796011,0.07568416,0.0378014259,0.0172175262,0.0108209979,0.000361949205,2
0.736834347,0.407090187,0.0986696854,0.410593152,0.946324944,0.714510202,1,0.734229088,0.594864011,1,0.748539329,1,1,0.375673652,0.901274323,0.373457491,0.195100561,0.18536216,0.157155424,0.140993029,0.178036094,0.0739307925,0.0251603276,0.0133546274,0.00217762403,0.00018247962,2
1,0.405926347,0.0414605066,0.422305882,0.935554147,0.744616866,0.0961127058,0.764532149,0.851958871,1,0.441271365,1,-0.171814188,0.368262559,1,0.351358414,0.270360589,0.269033313,0.10215424,0.0920651928,0.112240359,0.0124886185,0.013724179,0.0106569408,0.00151689595,6.18696213E-05,2
-0.571546972,0.438582003,0.0487084202,0.430043101,-1,0.789483726,0.0665330961,0.761569679,-0.224762172,1,0.228724584,1,0.441299826,0.340179175,1,0.350697368,0.237795681,0.224596903,0.192930713,0.190086275,0.106851436,0.0345415063,0.0600476973,0.0298397653,0.0333432145,0.00011703372,2
-0.46560517,0.426038027,0.214185879,0.410402805,-0.599021018,0.759999216,0.16405803,0.734149873,-0.289787799,1,1,1,-1,0.544010818,0.302670956,0.492103577,0.239537925,0.247155041,0.197612748,0.192435384,0.0729950145,0.0446305759,0.0115405433,0.00923450384,0.061117474,0.000448256731,2
0.149203047,0.410850555,0.268678486,0.403420955,0.756537795,0.679435074,0.689516246,0.680215776,0.861349523,1,0.573506415,1,-1,0.380995542,1,0.335766971,0.295713842,0.245560631,0.237968206,0.196034133,0.26097697,0.228542387,0.028274199,0.0115825301,0.0113387387,0.000750124454,2
0.0300401319,0.402320474,0.189723119,0.410680175,0.757028043,0.68358779,0.217659861,0.734594166,-1,1,0.222558647,1,0.30371213,0.486549407,1,0.486128181,0.670098901,0.645869374,0.810732543,0.739726901,0.187245905,0.176387042,0.00303004379,0.00246051396,0.192531601,1.93715096E-06,2
0.363219529,0.420999706,0.0953899547,0.437796861,0.894017875,0.800207019,1,0.825307786,-0.844239652,1,0.553642094,1,-1,0.747938991,0.861432314,0.761690736,0.78179574,0.83270961,0.800030828,0.77203244,0.563943863,0.436783582,0.0753701702,0.0199946146,0.163697228,0.000447362661,1
0.0589854084,0.418947935,0.296103865,0.440348357,-0.155155957,0.794304967,0.220138341,0.835735977,-0.570418239,0.958786488,0.624104381,1,-1,0.920677722,1,0.931093872,1,0.974960387,0.770070076,0.703842759,0.308382869,0.269034356,0.177769899,0.0165208429,0.0223010741,6.27636909E-05,1
0.971187234,0.383137405,0.0114381416,0.396764845,1,0.66646409,0.296248585,0.681530058,0.439181089,1,0.581027806,1,0.804176688,0.496046454,1,0.478715122,0.429237962,0.34299475,0.466981947,0.297293544,0.274419308,0.123601608,0.0289885346,0.00150348176,0.0166182369,7.21812248E-05,2
-0.468447179,0.454619229,0.033839535,0.454471558,0.111391857,0.753906608,0.231049627,0.774155796,-0.264318526,1,1,1,-1,0.426910669,0.128291622,0.402815968,0.228196338,0.200548947,0.191683397,0.184987873,0.151777774,0.128413349,0.0359233618,0.0136781866,0.0162125491,0.00027987361,2
-0.814673305,0.501390636,0.047575593,0.491901219,-1,0.933962107,0.0487550274,0.88936466,-0.443037748,1,0.241054326,1,-0.327730685,0.649409175,1,0.485403806,0.110262319,0.122951701,0.221717,0.196926132,0.0731357709,0.0735261515,0.0508212522,0.0414151736,0.0228798799,3.15904617E-05,2
